,Data,Username,Tweet,URL,Respostas,Retweets,Likes
33,2021-08-27 21:40:12+00:00,mandetta,@rafinhabastos Foi ótima a conversa. Tô me divertindo com as suas caras ouvindo as histórias,https://twitter.com/mandetta/status/1431370992136433665,6,1,52
34,2021-08-27 20:18:35+00:00,mandetta,"Enquanto uns se mudam para mansões, outros não podem mais comer carne, abastecer, pagar a conta de luz ou trabalhar. E nem matar a saudade de quem se foi por causa do atraso na vacina",https://twitter.com/mandetta/status/1431350450851307521,821,531,6523
35,2021-08-26 14:52:49+00:00,mandetta,"A máscara é o EPI que faz a melhor barreira contra o vírus, tanto individual quanto coletiva. Não tem nenhum estudo que o Queiroga possa fazer para dizer o contrário disso. Mas parece que ele quer ganhar tempo ao invés de confrontar o presidente: https://t.co/k0qGdLBFxZ",https://twitter.com/mandetta/status/1430906080238858248,172,61,995
36,2021-08-25 18:11:20+00:00,mandetta,"Em 2020, quando a Ciência deveria ter sido valorizada, o investimento do governo foi o menor em 12 anos.  Nossos pesquisadores estão indo embora. E o Brasil, ficando com gastos em propagandas de ""tratamento precoce"" https://t.co/C5klEyLg83",https://twitter.com/mandetta/status/1430593652699680781,416,61,661
37,2021-08-23 12:38:46+00:00,mandetta,"Ivermectina é para gado? Não me diga 👀

https://t.co/T2T4yMbI80",https://twitter.com/mandetta/status/1429785184686288901,522,369,4006
38,2021-08-20 23:50:04+00:00,mandetta,"Alexandre de Moraes será presidente do TSE em 2022. Bolsonaro tenta descredibilizar antecipadamente o sistema eleitoral e criar cortina de fumaça para o desastre de seu governo, que promove fome, inflação e morte. Pode colar nos segmentos mais lobotomizados de sua base. Aqui, não",https://twitter.com/mandetta/status/1428866956824875011,1216,800,9374
39,2021-08-20 14:33:46+00:00,mandetta,"O avanço da variante Delta nos força a trabalhar a terceira dose em idosos e imunossuprimidos em paralelo à primeira dose das pessoas com mais de 18 anos, como bem explica o Wanderson. Reforço que o uso de máscara ainda é uma necessidade.
https://t.co/q14sSlHjSo",https://twitter.com/mandetta/status/1428726960348450822,66,53,557
40,2021-08-18 22:17:48+00:00,mandetta,"Sr. ministro, sempre trabalhei com crianças com deficiência e asseguro: o que atrapalha são adultos que ensinam exclusão. Sou autor do PL que aumenta o repasse do Fundeb p/ educação especial. Está no Senado. Que tal o ministro gastar energia p/ aprovação? https://t.co/BtaLNNbLzX",https://twitter.com/mandetta/status/1428118964228460553,107,118,1456
41,2021-08-16 15:51:57+00:00,mandetta,Tempos difíceis para o Afeganistão. Principalmente para as mulheres. A Democracia sofre abalos e retrocessos no mundo. E por aqui constantemente ameaçada. É preciso estar atento e forte. Fanatismo mata!,https://twitter.com/mandetta/status/1427297085808955398,3447,394,6170
42,2021-08-13 17:28:23+00:00,mandetta,Aumentar o valor do Bolsa Família é essencial. Mas o que Bolsonaro está fazendo é desfigurar o propósito do programa com fins apenas eleitoreiros. Ele está preparando um baquete político pensando nas eleições e não nas próximas gerações. https://t.co/Ye5mHEKQXm,https://twitter.com/mandetta/status/1426234187951005697,140,51,730
