,Data,Username,Tweet,URL,Respostas,Retweets,Likes
30,2022-05-26 16:11:20+00:00,PazuelloGeneral,"Excelente trabalho da @faboficial! Parabenizo também o @govbr em parceria com a @SpaceX, por mais um passo para a consolidação do Programa de Sistemas Espaciais Estratégicos do Brasil. As imagens captadas serão essenciais para a segurança e desenvolvimento do país! 🚀🇧🇷 https://t.co/sC1Je4BV7o",https://twitter.com/PazuelloGeneral/status/1529857727719170048,6,77,489
31,2022-05-25 21:10:05+00:00,PazuelloGeneral,"Na última terça-feira, 24/05, participei de um bate-papo com o grupo @AtitudeBrasilOf. É um privilégio me juntar à pessoas que trabalham pelo crescimento de nosso Brasil. É com esse comprometimento que o país cresce! #Tamojunto🇧🇷 https://t.co/EEKwDsn2yH",https://twitter.com/PazuelloGeneral/status/1529570523591720963,18,52,600
32,2022-05-25 17:28:34+00:00,PazuelloGeneral,"A Lei Henry Borel pode acabar com a impunidade que acontece dentro de casa. A violência contra crianças e adolescentes passa a ser homicídio qualificado, crime hediondo, ou seja, aumenta em, ao menos 14 anos, o tempo de prisão para esses assassinos que cometem essas barbáries.",https://twitter.com/PazuelloGeneral/status/1529514777692741632,8,85,811
33,2022-05-25 17:28:34+00:00,PazuelloGeneral,Parabenizo o @jairbolsonaro  por mais um ato que protege a integridade e a vida de nossas crianças.,https://twitter.com/PazuelloGeneral/status/1529514775780237312,22,364,3941
34,2022-05-25 14:01:48+00:00,PazuelloGeneral,Lamento também pela morte da moradora Gabriele Ferreira da Cunha e me solidarizo com a sua família em um momento como este.,https://twitter.com/PazuelloGeneral/status/1529462743488667648,5,37,473
35,2022-05-25 14:01:48+00:00,PazuelloGeneral,"Essa operação resultou na morte de 20 criminosos, responsáveis por matar e amedrontar, diariamente, pessoas inocentes. Esses bandidos que também são responsáveis pela morte de cerca de 13 agentes de segurança no ano de 2022 .",https://twitter.com/PazuelloGeneral/status/1529462741299347457,7,54,581
36,2022-05-25 14:01:47+00:00,PazuelloGeneral,"Parabéns aos guerreiros do @RJBope e da @PMERJ, com o apoio da DRE e @PRFBrasil, pelo êxito na missão realizada contra os traficantes no complexo da Penha na cidade do Rio de Janeiro. https://t.co/0SSfE4QFFV",https://twitter.com/PazuelloGeneral/status/1529462739164438530,18,121,954
37,2022-05-23 10:48:28+00:00,PazuelloGeneral,Bom dia e boa semana ! 🇧🇷,https://twitter.com/PazuelloGeneral/status/1528689313587810306,103,109,3173
38,2022-05-21 23:43:31+00:00,PazuelloGeneral,"Tamo junto @MarcioFeitoza1! 👊

#Pazuello #tamojunto #RiodeJaneiro https://t.co/KSXouwApEf",https://twitter.com/PazuelloGeneral/status/1528159584472514560,3,24,165
39,2022-05-21 15:51:49+00:00,PazuelloGeneral,"Primeiro Seminário da @ABRAJUCOficial com representantes dos estados. 

#Pazuello #abrajuc #Brasil https://t.co/gULibUrktB",https://twitter.com/PazuelloGeneral/status/1528040877180043265,2,41,275
40,2022-05-21 12:53:20+00:00,PazuelloGeneral,"Homenagem aos eternos Comandos! 🗡️☠️
Uma muda plantada da árvore Camboatá, no Jardim Botânico, do Rio de Janeiro!
Só quem é sabe o que significa esse nome!
#exercito #comandos #pazuello https://t.co/GQMVfQEbU5",https://twitter.com/PazuelloGeneral/status/1527995959585787905,12,47,433
41,2022-05-20 16:17:12+00:00,PazuelloGeneral,@jairbolsonaro @elonmusk @fabiofaria 🇧🇷🇧🇷🇧🇷,https://twitter.com/PazuelloGeneral/status/1527684878338347012,5,18,434
42,2022-05-20 15:08:23+00:00,PazuelloGeneral,@elonmusk Tamo junto @elonmusk ! Sua vinda reforça a força do governo e do foco em cuidar de nossa Amazônia! Soberania em primeiro lugar! É o Brasil conectado! 🇧🇷🇧🇷,https://twitter.com/PazuelloGeneral/status/1527667560065425409,254,454,4831
43,2022-05-20 11:28:43+00:00,PazuelloGeneral,"Estive no ""Congresso Mercado Global de Carbono"", no Jardim Botânico-RJ.
Estamos juntos,e no caminho correto por um Brasil com economia verde e sustentável. Cuidando do presente que garantimos o futuro. 🇧🇷

 #pazuello #sustentabilidade #bolsonaro https://t.co/F7jl5KDjvf",https://twitter.com/PazuelloGeneral/status/1527612278350258176,14,88,501
44,2022-05-19 19:15:42+00:00,PazuelloGeneral,"Sempre bom encontrar nosso comandante PR @jairbolsonaro que esteve aqui pelo Rio de Janeiro! 🇧🇷

#Brasil  #pazuello #BrasilComBolsonaro #Bolsonaro https://t.co/4aLD371HIa",https://twitter.com/PazuelloGeneral/status/1527367411761983491,250,1377,17323
45,2022-05-19 17:04:54+00:00,PazuelloGeneral,"#tbt de hoje vai para uma época boa de paraquedismo! Foram milhares e milhares de saltos em décadas de dedicação. Fica minha gratidão por esse esporte que faz parte da minha vida que seja dentro ou fora da Brigada! 

#pqd #pazuello #exercito https://t.co/UhmvTHbFpe",https://twitter.com/PazuelloGeneral/status/1527334491978489877,8,53,467
46,2022-05-18 22:23:33+00:00,PazuelloGeneral,@OpAcolhida 🇧🇷🇧🇷,https://twitter.com/PazuelloGeneral/status/1527052297553031169,1,17,120
47,2022-05-18 22:22:48+00:00,PazuelloGeneral,"Excelente reportagem da @TVBrasil!
Mostra a Operação Acolhida a qual tive a honra de coordenar durante 2 anos. Ela teve como objetivo acolher e interiorizar refugiados venezuelanos que ainda buscam o Brasil para ter uma vida digna. Não vamos deixar nosso país virar uma ditadura! https://t.co/aXwHhFMSj6",https://twitter.com/PazuelloGeneral/status/1527052106070360064,13,146,545
48,2022-05-18 11:12:40+00:00,PazuelloGeneral,@jairbolsonaro @govbr 🇧🇷🇧🇷🇧🇷🇧🇷👏,https://twitter.com/PazuelloGeneral/status/1526883461956521986,23,27,765
49,2022-05-16 16:15:04+00:00,PazuelloGeneral,#tamojunto https://t.co/KEnCo6YvhT,https://twitter.com/PazuelloGeneral/status/1526234790600515584,28,149,2159
50,2022-05-15 14:04:07+00:00,PazuelloGeneral,@FlavioBolsonaro 👊🇧🇷🇧🇷,https://twitter.com/PazuelloGeneral/status/1525839445433401348,2,7,163
51,2022-05-15 02:06:44+00:00,PazuelloGeneral,@BolsonaroSP TMJ ! 🇧🇷🇧🇷,https://twitter.com/PazuelloGeneral/status/1525658911977652224,20,31,923
52,2022-05-14 23:51:03+00:00,PazuelloGeneral,@gilsonmachadont 👏👏🇧🇷🇧🇷,https://twitter.com/PazuelloGeneral/status/1525624765876252673,17,44,973
53,2022-05-14 17:03:05+00:00,PazuelloGeneral,https://t.co/V5IuKKVkkA https://t.co/ut8xPPcB0D,https://twitter.com/PazuelloGeneral/status/1525522097786826752,151,368,2886
54,2022-05-14 14:39:07+00:00,PazuelloGeneral,@jairbolsonaro 🇧🇷🇧🇷🇧🇷,https://twitter.com/PazuelloGeneral/status/1525485867489538048,12,13,373
55,2022-05-13 14:09:45+00:00,PazuelloGeneral,"Mais uma atuação das Forças Armadas que comprovam a prontidão e preparo em tragédias humanitárias. Assim como na Operação Acolhida, que tive a honra de coordenar junto com agências da ONU que tem a missão de acolher e interiorizar refugiados venezuelanos fugindo da ditadura.
🇧🇷🇧🇷 https://t.co/puKf2B6qa9",https://twitter.com/PazuelloGeneral/status/1525116088249458689,14,77,426
56,2022-05-13 10:31:35+00:00,PazuelloGeneral,@jairbolsonaro O SUS sempre apoiando a população!👊🇧🇷🇧🇷,https://twitter.com/PazuelloGeneral/status/1525061183774023685,17,33,718
